iter	Passed	Remaining
708	3372	1384
709	3378	1379
710	3382	1375
711	3385	1369
712	3426	1379
713	3433	1375
714	3450	1375
715	3453	1369
716	3460	1365
717	3463	1360
718	3468	1355
719	3477	1352
720	3481	1347
721	3489	1343
722	3494	1338
723	3502	1335
724	3507	1330
725	3510	1325
726	3514	1319
727	3529	1318
728	3535	1314
729	3539	1308
730	3544	1304
731	3553	1301
732	3555	1295
733	3558	1289
734	3566	1285
735	3573	1281
736	3583	1278
737	3589	1274
738	3603	1272
739	3607	1267
740	3616	1264
741	3620	1258
742	3624	1253
743	3632	1249
744	3635	1244
745	3639	1239
746	3648	1235
747	3651	1230
748	3659	1226
749	3667	1222
750	3678	1219
751	3680	1213
752	3692	1211
753	3695	1205
754	3698	1200
755	3705	1195
756	3708	1190
757	3710	1184
758	3713	1179
759	3719	1174
760	3721	1168
761	3727	1164
762	3744	1163
763	3755	1160
764	3760	1155
765	3767	1151
766	3771	1145
767	3774	1140
768	3776	1134
769	3784	1130
770	3786	1124
771	3799	1122
772	3802	1116
773	3806	1111
774	3814	1107
775	3821	1103
776	3830	1099
777	3834	1094
778	3837	1088
779	3845	1084
780	3849	1079
781	3865	1077
782	3870	1072
783	3878	1068
784	3881	1063
785	3885	1057
786	3890	1053
787	3896	1048
788	3899	1042
789	3905	1038
790	3908	1032
791	3911	1027
792	3914	1021
793	3926	1018
794	3931	1013
795	3941	1010
796	3946	1005
797	3949	999
798	3952	994
799	3955	988
800	3958	983
801	3964	978
802	3967	973
803	3970	967
804	3987	965
805	3990	960
806	4001	956
807	4003	951
808	4007	946
809	4016	942
810	4018	936
811	4022	931
812	4029	926
813	4032	921
814	4035	915
815	4038	910
816	4041	905
817	4051	901
818	4054	895
819	4058	890
820	4066	886
821	4069	881
822	4072	875
823	4079	871
824	4082	865
825	4085	860
826	4089	855
827	4097	851
828	4108	847
829	4111	842
830	4113	836
831	4123	832
832	4126	827
833	4131	822
834	4139	817
835	4143	812
836	4146	807
837	4153	802
838	4171	800
839	4173	795
840	4176	789
841	4182	784
842	4186	779
843	4188	774
844	4191	768
845	4194	763
846	4200	758
847	4203	753
848	4207	748
849	4214	743
850	4218	738
851	4222	733
852	4226	728
853	4236	724
854	4239	718
855	4250	714
856	4253	709
857	4261	705
858	4265	700
859	4268	694
860	4270	689
861	4278	684
862	4280	679
863	4282	674
864	4285	668
865	4289	663
866	4293	658
867	4300	653
868	4308	649
869	4311	644
870	4314	638
871	4316	633
872	4325	629
873	4328	623
874	4330	618
875	4337	613
876	4339	608
877	4342	603
878	4345	598
879	4352	593
880	4356	588
881	4360	583
882	4373	579
883	4376	574
884	4382	569
885	4387	564
886	4391	559
887	4398	554
888	4402	549
889	4406	544
890	4416	540
891	4419	535
892	4422	529
893	4429	525
894	4432	520
895	4445	516
896	4450	511
897	4453	505
898	4463	501
899	4465	496
900	4468	491
901	4477	486
902	4480	481
903	4483	476
904	4485	470
905	4493	466
906	4499	461
907	4502	456
908	4506	451
909	4510	446
910	4517	441
911	4520	436
912	4524	431
913	4532	426
914	4535	421
915	4538	416
916	4540	411
917	4550	406
918	4553	401
919	4556	396
920	4565	391
921	4570	386
922	4573	381
923	4581	376
924	4583	371
925	4587	366
926	4595	361
927	4598	356
928	4601	351
929	4607	346
930	4613	341
931	4615	336
932	4626	332
933	4628	327
934	4630	321
935	4633	316
936	4640	312
937	4642	306
938	4645	301
939	4647	296
940	4653	291
941	4656	286
942	4658	281
943	4660	276
944	4662	271
945	4670	266
946	4673	261
947	4676	256
948	4687	251
949	4691	246
950	4694	241
951	4701	237
952	4705	232
953	4708	227
954	4710	221
955	4714	216
956	4717	211
957	4719	206
958	4723	201
959	4726	196
960	4734	192
961	4743	187
962	4746	182
963	4749	177
964	4755	172
965	4758	167
966	4761	162
967	4764	157
968	4772	152
969	4775	147
970	4778	142
971	4788	137
972	4791	132
973	4807	128
974	4818	123
975	4822	118
976	4827	113
977	4834	108
978	4838	103
979	4842	98
980	4853	94
981	4858	89
982	4923	85
983	4936	80
984	4941	75
985	4955	70
986	4967	65
987	4975	60
988	4979	55
989	4982	50
990	4993	45
991	4995	40
992	4998	35
993	5008	30
994	5010	25
995	5023	20
996	5026	15
997	5029	10
998	5036	5
999	5039	0
